accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
2006,,900,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP00152_dynmc,2028317,Creation Place,"East Asia, China",Silvered bronze,http://harvardartmuseums.org/collections/object/176997,176997,"Covered Reliquary, the Reliquary with a Pedestal Base, the Cover with a Knob in the Form of a Five-Story Stupa",Asian and Mediterranean Art,700,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:CARP00152_dynmc,,1,18210595,President and Fellows of Harvard College,CARP00152,with cover: H. 16 x Diam. 9.4 cm (6 5/16 x 3 11/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,900,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of the Walter C. Sedgwick Foundation and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",http://nrs.harvard.edu/urn-3:HUAM:CARP00155_dynmc,2028317,Creation Place,"East Asia, China",Turned bronze,http://harvardartmuseums.org/collections/object/191003,191003,Small Ovoid 'Guan' Jar and with Short Neck and Wide Mouth and with Bail Handle Attached to Leaf-Shaped Tabs on the Shoulder,Asian and Mediterranean Art,800,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP00155_dynmc,,1,18210598,President and Fellows of Harvard College,CARP00155,H. 10.6 x Diam. 12.2 cm (4 3/16 x 4 13/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,9,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Ralph C. Marcove, M.D.",http://nrs.harvard.edu/urn-3:HUAM:VRS43984_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with integrally cast inscription,http://harvardartmuseums.org/collections/object/198016,198016,Circular Mirror with TLV Decoration and Auspicious Inscription,Asian and Mediterranean Art,-206,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS43984_dynmc,,1,20680474,President and Fellows of Harvard College,43984,Diam. 14 cm (5 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Margot Warner",http://nrs.harvard.edu/urn-3:HUAM:CARP09275_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/201067,201067,"Fragment of an Eight-Lobed Mirror with Relief Decoration of Two Phoenixes, a Qilin, and a Mythical Animal (one of four pieces that form an incomplete mirror)",Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:CARP09275_dynmc,,1,18723101,President and Fellows of Harvard College,CARP09275,L. 15.9 cm (6 1/4 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:CARP09279_dynmc,1984.216.A-D fragments assembled to form incomplete mirror,2,18723105,President and Fellows of Harvard College,CARP09279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,-771,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. and Mrs. Milford D. Schulz",http://nrs.harvard.edu/urn-3:HUAM:VRS13333_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/201240,201240,Dagger-axe (Ge),Asian and Mediterranean Art,-1050,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:VRS13333_dynmc,,1,20669862,President and Fellows of Harvard College,13333,L. 24.8 x W. 10.9 cm (9 3/4 x 4 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,1795,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of John West",http://nrs.harvard.edu/urn-3:HUAM:VRS42589_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze with localized areas of cold gilding and red and blue pigments; with cast inscription at the front of base reading ""Da Qing Qianlong nian jing zao"". Sino-Tibetan style.",http://harvardartmuseums.org/collections/object/202990,202990,"Six-Headed Seated Bodhisattva with Hands Clasped in Front of Chest, Each Hand Grasping a Lotus Stalk, Each Stalk Culminating in a Lotus Blossom Surmounted by a Sutra in the Form of a Book",Asian and Mediterranean Art,1736,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:VRS42589_dynmc,,1,20679880,President and Fellows of Harvard College,42589,H. 39.4 cm (15 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,-1100,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Mrs. Frederick B. Jennings",http://nrs.harvard.edu/urn-3:HUAM:VRS44241_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203272,203272,'Gu' Ritual Wine Vessel with 'Taotie' and Stylized Dragon Decor,Asian and Mediterranean Art,-1300,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS44241_dynmc,,1,20680563,President and Fellows of Harvard College,44241,H. 27.5 x Diam. 16 cm (10 13/16 x 6 5/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Dr. Arnold Knapp",http://nrs.harvard.edu/urn-3:HUAM:CARP03866_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/203373,203373,Ritual Wine Vessel (Zhi),Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP03866_dynmc,,1,18731435,President and Fellows of Harvard College,CARP03866,H. 8.26 cm (3 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-301,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51607_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze, the eyes inlaid with silver; the originally hollow base filled in with lead",http://harvardartmuseums.org/collections/object/203784,203784,"Support, Perhaps for a Lamp, in the Form of a Standing Official Grasping Two Open Cylinders",Asian and Mediterranean Art,-400,Lighting Devices,http://nrs.harvard.edu/urn-3:HUAM:51607_dynmc,,1,17387721,President and Fellows of Harvard College,51607,H. 20 x W. 9.7 x D. 12.8 cm (7 7/8 x 3 13/16 x 5 1/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48622_dynmc,,2,43183103,President and Fellows of Harvard College,48622,http://nrs.harvard.edu/urn-3:HUAM:48623_dynmc,,3,43183104,President and Fellows of Harvard College,48623,http://nrs.harvard.edu/urn-3:HUAM:48624_dynmc,,4,43183105,President and Fellows of Harvard College,48624,http://nrs.harvard.edu/urn-3:HUAM:48625_dynmc,,5,43183106,President and Fellows of Harvard College,48625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-975,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46945_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze; with integrally cast four-character inscription reading ""Zuo Fu Xin _?_"" on the interior of the lip",http://harvardartmuseums.org/collections/object/203789,203789,Ritual Food Vessel (Li Ding) with 'Taotie' Decor and Two Loop Handles in the Form of Twisted Rope,Asian and Mediterranean Art,-1050,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46945_dynmc,,1,20681531,President and Fellows of Harvard College,46945,H. 19.1 cm (7 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS80260_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray-green patina; inscribed with a three-character dedication,http://harvardartmuseums.org/collections/object/203866,203866,'Fangding' Ritual Food Vessel with 'Taotie' Decor,Asian and Mediterranean Art,-1200,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS80260_dynmc,,1,20684523,President and Fellows of Harvard College,80260,H. 27.3 x W. 20.4 x D. 16.3 cm (10 3/4 x 8 1/16 x 6 7/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,618,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51065_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze with silvery, bluish green patina; with an inscription on the reverse",http://harvardartmuseums.org/collections/object/203979,203979,"Circular Mirror with Decoration of the Animals of the Four Quadrants, the Eight Trigrams, and Flying Apsarases",Asian and Mediterranean Art,581,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:51065_dynmc,,1,17386404,President and Fellows of Harvard College,51065,Diam. 24.8 x Thickness 1.9 cm (9 3/4 x 3/4 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48843_dynmc,,2,43183133,President and Fellows of Harvard College,48843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,693,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51066_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze, the inset silver plaque on the reverse with repoussé designs; with a dated inscription on the reverse, beneath the inset plaque",http://harvardartmuseums.org/collections/object/203981,203981,Mirror with Foliate Rim and with Inset Silver Plaque,Asian and Mediterranean Art,693,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:51066_dynmc,,1,17386405,President and Fellows of Harvard College,51066,Diam. 15.8 x Thickness 1.4 cm (6 1/4 x 9/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48848_dynmc,,2,43183136,President and Fellows of Harvard College,48848,http://nrs.harvard.edu/urn-3:HUAM:48849_dynmc,,3,43183137,President and Fellows of Harvard College,48849,http://nrs.harvard.edu/urn-3:HUAM:51067_dynmc,,4,17386406,President and Fellows of Harvard College,51067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-875,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:DDC251550_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with blackish patina; with dedicatory inscription by Lady Geng Ying cast on both the vessel floor and lid interior,http://harvardartmuseums.org/collections/object/203986,203986,'You' Covered Ritual Wine Vessel with Decoration of Confronting Birds,Asian and Mediterranean Art,-975,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251550_dynmc,,1,46594054,President and Fellows of Harvard College,DDC251550,H. 29 x W. 18.8 x D. 17.7 cm (11 7/16 x 7 3/8 x 6 15/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:DDC251562_dynmc,,2,46594063,President and Fellows of Harvard College,DDC251562,http://nrs.harvard.edu/urn-3:HUAM:DDC251563_dynmc,,3,46594064,President and Fellows of Harvard College,DDC251563,http://nrs.harvard.edu/urn-3:HUAM:DDC251564_dynmc,,4,46594065,President and Fellows of Harvard College,DDC251564,http://nrs.harvard.edu/urn-3:HUAM:48920_dynmc,Rubbing of inscription on lid,5,43183162,President and Fellows of Harvard College,48920,http://nrs.harvard.edu/urn-3:HUAM:48921_dynmc,Front view,6,43183163,President and Fellows of Harvard College,48921,http://nrs.harvard.edu/urn-3:HUAM:51121_dynmc,Front view,7,17386430,President and Fellows of Harvard College,51121,http://nrs.harvard.edu/urn-3:HUAM:51122_dynmc,Detail of inscription on lid,8,17386431,President and Fellows of Harvard College,51122,,,,,,,,,,,,,,,
1943,,1800,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP09228_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze with decoration inlaid in silver wire; with spurious inlaid silver mark reading ""Shi Sou"" on the base",http://harvardartmuseums.org/collections/object/204009,204009,"Flattened Miniature ""Hu"" Form Vessel with Abbreviated ""Taotie"" Decor",Asian and Mediterranean Art,1600,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP09228_dynmc,,1,18723055,President and Fellows of Harvard College,CARP09228,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-875,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:VRS46961_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with integrally cast inscriptions on vessel floor and interior of cover,http://harvardartmuseums.org/collections/object/204066,204066,Covered Wine Vessel (You) with Animal-Head Bail Handle and Decoration of Long-Tailed Birds,Asian and Mediterranean Art,-975,Vessels,http://nrs.harvard.edu/urn-3:HUAM:VRS46961_dynmc,,1,20681540,President and Fellows of Harvard College,46961,H. 23.18 x W. 22.23 cm (9 1/8 x 8 3/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,800,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21096_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204092,204092,Large Eight-Lobed Mirror with Relief Decoration of Scrolling Lotus Blossoms,Asian and Mediterranean Art,700,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21096_dynmc,,1,17325120,President and Fellows of Harvard College,21096,Diam. 30.6 cm (12 1/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:50572_dynmc,,2,17358103,President and Fellows of Harvard College,50572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51070_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with greenish patina,http://harvardartmuseums.org/collections/object/204131,204131,Circular Double-Tier Mirror or Plaque with Decoration of Four Interlaced Snake-Dragons around a Four-Petalled Flower and with Four Loop-Handles,Asian and Mediterranean Art,-475,Plaques,http://nrs.harvard.edu/urn-3:HUAM:51070_dynmc,,1,17386409,President and Fellows of Harvard College,51070,7.9 x 7.9 x 0.7 cm (3 1/8 x 3 1/8 x 1/4 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44493_dynmc,,2,43182663,President and Fellows of Harvard College,44493,http://nrs.harvard.edu/urn-3:HUAM:44494_dynmc,,3,43182664,President and Fellows of Harvard College,44494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,-400,"Harvard Art Museums/Arthur M. Sackler Museum, Anonymous gift",http://nrs.harvard.edu/urn-3:HUAM:DDC251409_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gray-green patina,http://harvardartmuseums.org/collections/object/204198,204198,'He' Ritual Wine Vessel in the Form of a Standing Duck,Asian and Mediterranean Art,-500,Vessels,http://nrs.harvard.edu/urn-3:HUAM:DDC251409_dynmc,,1,46594027,President and Fellows of Harvard College,DDC251409,H. 20.5 x W. 17 x L. 30.8 cm (8 1/16 x 6 11/16 x 12 1/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:DDC251192_dynmc,,2,46594009,President and Fellows of Harvard College,DDC251192,http://nrs.harvard.edu/urn-3:HUAM:DDC251407_dynmc,,3,46594025,President and Fellows of Harvard College,DDC251407,http://nrs.harvard.edu/urn-3:HUAM:DDC251408_dynmc,,4,46594026,President and Fellows of Harvard College,DDC251408,http://nrs.harvard.edu/urn-3:HUAM:DDC251410_dynmc,,5,46594028,President and Fellows of Harvard College,DDC251410,http://nrs.harvard.edu/urn-3:HUAM:DDC251411_dynmc,,6,46594029,President and Fellows of Harvard College,DDC251411,http://nrs.harvard.edu/urn-3:HUAM:VRS30261_dynmc,,7,20673680,President and Fellows of Harvard College,30261,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS48973_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204270,204270,"Circular Mirror with Relief Decoration of Stylized Dragons and Birds Surrounding a Quatrefoil Center against a Textured Ground, All within a Border of Linked Arcs",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS48973_dynmc,,1,20682344,President and Fellows of Harvard College,48973,"Diam. 18.5 cm (7 5/16 in.)
Weight: 500 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS48830_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204275,204275,Large Circular Mirror with Relief Decoration of Fantastic Creatures against a Ground of Volutes within a Border of Linked Arcs,Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS48830_dynmc,,1,20682311,President and Fellows of Harvard College,48830,Diam. 27.8 cm (10 15/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:71079_dynmc,2035823,Creation Place,"East Asia, China, Henan province",Cast bronze with silver inlay,http://harvardartmuseums.org/collections/object/204299,204299,"Baluster-Shaped, Faceted Chariot Pole End-Cap (One of a Pair)",Asian and Mediterranean Art,-475,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:71079_dynmc,,1,17804552,President and Fellows of Harvard College,71079,14.2 x 3.7 cm (5 9/16 x 1 7/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44465_dynmc,,2,43182640,President and Fellows of Harvard College,44465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21090_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204307,204307,"Circular Mirror with Decoration of Five ""Shan"" Ideographs Forming an Assymetrical Star around Five Small Petals, All against a Patterned Ground",Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21090_dynmc,,1,17325114,President and Fellows of Harvard College,21090,"Diam. 17.8 x Thickness 0.9 cm (7 x 3/8 in.)
Weight 690 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:44488_dynmc,,2,43182658,President and Fellows of Harvard College,44488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-875,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51152_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with green russet patina; with an inscription on the interior,http://harvardartmuseums.org/collections/object/204314,204314,Ritual Food Vessel (Ding) with Decorative Band of Birds and Leiwen,Asian and Mediterranean Art,-975,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51152_dynmc,,1,17386459,President and Fellows of Harvard College,51152,22.2 x 20.8 x 20.1 cm (8 3/4 x 8 3/16 x 7 15/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:48889_dynmc,,2,43183149,President and Fellows of Harvard College,48889,http://nrs.harvard.edu/urn-3:HUAM:48890_dynmc,,3,43183150,President and Fellows of Harvard College,48890,http://nrs.harvard.edu/urn-3:HUAM:51153_dynmc,,4,17386460,President and Fellows of Harvard College,51153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:51087_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204345,204345,'You' Covered Ritual Wine Vessel in the Form of Two Addorsed Owls,Asian and Mediterranean Art,-1400,Vessels,http://nrs.harvard.edu/urn-3:HUAM:51087_dynmc,,1,17386418,President and Fellows of Harvard College,51087,"H. 17.2 (with lid) x W. 15.0 x D. 13.9 cm (6 3/4 x 5 7/8 x 5 1/2 in.)
Weight 1628.68 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:48909_dynmc,,2,43183155,President and Fellows of Harvard College,48909,http://nrs.harvard.edu/urn-3:HUAM:51088_dynmc,alternate view,3,17386419,President and Fellows of Harvard College,51088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,220,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:21097_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204357,204357,"Circular ""Shenshou"" (Deity and Beast) Mirror with Relief Decoration of the Daoist Deities Xiwangmu and Dongwanggong and Fantastic Creatures, All within a Border of Alternating Semicircles and Faux Seal Impressions",Asian and Mediterranean Art,25,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:21097_dynmc,,1,17325121,President and Fellows of Harvard College,21097,"Diam. 14 cm (5 1/2 in.)
Weight 476 g",Chinese,http://nrs.harvard.edu/urn-3:HUAM:50574_dynmc,,2,17358105,President and Fellows of Harvard College,50574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,220,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:INV227411_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with engraved designs and inscription,http://harvardartmuseums.org/collections/object/204388,204388,Tally in the Form of a Recumbent Tiger (One of a Pair),Asian and Mediterranean Art,25,Tools and Equipment,http://nrs.harvard.edu/urn-3:HUAM:INV227411_dynmc,,1,19843541,President and Fellows of Harvard College,INV227411,H. 4.6 x L. 9.5 x W. 2.5 cm (1 13/16 x 3 3/4 x 1 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-201,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:49235_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204390,204390,Small Garment Hook in the Form of an Ox Head,Asian and Mediterranean Art,-800,Jewelry,http://nrs.harvard.edu/urn-3:HUAM:49235_dynmc,,1,43183207,President and Fellows of Harvard College,49235,3.8 x 2.1 x 1.8 cm (1 1/2 x 13/16 x 11/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,1700,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:CARP09226_dynmc,2028317,Creation Place,"East Asia, China","Cast bronze with decoration inlaid in hseet gold, silver, and sheet silver",http://harvardartmuseums.org/collections/object/204415,204415,"Small ""Zhi"" or ""Zun"" Form Vessel with Abstract Decor",Asian and Mediterranean Art,1600,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP09226_dynmc,,1,18723053,President and Fellows of Harvard College,CARP09226,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS11643_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze inset with silver bosses and with traces of gilding,http://harvardartmuseums.org/collections/object/204465,204465,Square Double-Tier Mirror with Openwork Decoration of Intertwined Snake-Dragons,Asian and Mediterranean Art,-475,Mirrors,http://nrs.harvard.edu/urn-3:HUAM:VRS11643_dynmc,,1,20669118,President and Fellows of Harvard College,11643,"H. 14.6 x W. 14.5 cm (5 3/4 x 5 11/16 in.)
Weight: 452 g",Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50763_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204566,204566,"Knife with Pronged Attachment (perhaps for punching leather), Ordos Type",Asian and Mediterranean Art,-1099,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:50763_dynmc,,1,17358162,President and Fellows of Harvard College,50763,L. 28.5 x W. 5.5 x D. 2.5 cm (11 1/4 x 2 3/16 x 1 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49181_dynmc,,2,43183195,President and Fellows of Harvard College,49181,http://nrs.harvard.edu/urn-3:HUAM:50764_dynmc,,3,17358163,President and Fellows of Harvard College,50764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
